PEAKS	VALUE(s)	VALUE(mm)	COMMENT
P1	0,41	2	 The value of P  in the I lead
P2	0,42	2,3	The value of P in the  II lead
P3	0,4	2,4	The value of P in the III lead
PV1	0,39	2,5	The value of P  in the V1 lead
PV2	0,41	2,3	The value of P in the V2 lead
PV3	0,42	2,4	The value of P  in the V3 lead
PV4	0,4	2,1	The value of  P  in the V4 lead
PV5	0,39	2,4	The value of P   in the V5 lead 
PV6	0,41	2,3	The value of P  in the V6 lead
PavF	0,41	2,3	The value of P  in the avF lead
PavL	0,41	2,3	The value of P  in the avL lead
Q1	0,69	3	 The value of Q  in the I lead
Q2	0,34	4	The value of Q in the  II lead
Q3	0,35	3	The value of Q in the III lead
QV1	0,34	4	The value of Q  in the V1 lead
QV2	0,35	7	The value of Q in the V2 lead
QV3	0,34	5	The value of Q  in the V3 lead
QV4	0,35	6	The value of  Q  in the V4 lead
QV5	0,34	4	The value of Q  in the V5 lead 
QV6	0,35	5	The value of Q  in the V6 lead
QavF	0,34	6	The value of Q  in the avF lead
QavL	0,35	5	The value of Q  in the avL lead
R1	0,87	8	 The value of R  in the I lead
R2	0,88	9	The value of R in the  II lead
R3	0,87	8	The value of R in the III lead
RV1	0,86	9	The value of R  in the V1 lead
RV2	0,88	8	The value of R in the V2 lead
RV3	0,86	9	The value of R  in the V3 lead
RV4	0,88	8	The value of  R  in the V4 lead
RV5	0,87	9	The value of R   in the V5 lead 
RV6	0,87	8	The value of R in the V6 lead
RavF	0,86	9	The value of R  in the avF lead
RavL	0,86	8	The value of R  in the avL lead
S1	0,52	7	 The value of S  in the I lead
S2	0,53	8	The value of S in the  II lead
S3	0,52	7	The value of S  in the III lead
SV1	0,53	8	The value of S   in the V1 lead
SV2	0,53	7	The value of S  in the V2 lead
SV3	0,52	8	The value of S   in the V3 lead
SV4	0,52	7	The value of  S   in the V4 lead
SV5	0,53	8	The value of S    in the V5 lead 
SV6	0,51	7	The value of S   in the V6 lead
SavF	0,52	8	The value of S   in the avF lead
SavL	0,52	7	The value of S   in the avL lead
T1	0,61	5	 The value of T   in the I lead
T2	0,62	6	The value of T  in the  II lead
T3	0,61	5	The value of T in the III lead
TV1	0,61	6	The value of T  in the V1 lead
TV2	0,61	5	The value of T in the V2 lead
TV3	0,62	6	The value of T  in the V3 lead
TV4	0,62	5	The value of  T  in the V4 lead
TV5	0,61	6	The value of T   in the V5 lead 
TV6	0,61	5	The value of T  in the V6 lead
TavF	0,61	6	The value of T  in the avF lead
TavL	0,61	5	The value of T  in the avL lead
RR	2,44	16	 The value of RR  in the I lead
PP	3,83	15	 The value of PP  in the I lead
PQ1	0,56	5	 The value of PQ  in the I lead
QRS1	2,08	18	 The value of QRS  in the I lead
QRSV1	1,73	21	 The value of QRS   in the  V1 lead
QRSV6	1,73	20	 The value of QRS  in the V6 lead
ST1	1,13	0,2	 The value of ST  in the I lead
ST3	1,13	0,3	 The value of ST  in the III lead
STV1	1,14	0,2	 The value of ST   in the V1 lead
STV2	1,14	0,3	 The value of ST  in the V2 lead
STavF	1,13	0,2	 The value of ST  in the  avF lead
ritm	123	0	 The value of 60/RR*t
